aX,aY,aZ,gX,gY,gZ
aX,aY,aZ,gX,gY,gZ
0.607,-0.464,0.686,-6.348,8.057,-14.465
0.612,-0.466,0.706,-7.629,7.568,-10.803
0.612,-0.464,0.743,-4.395,10.498,-8.484
0.606,-0.464,0.693,17.883,20.691,-5.859
0.592,-0.457,0.652,28.625,23.315,-5.432
0.556,-0.474,0.615,28.748,18.372,-8.545
0.556,-0.523,0.633,8.057,8.118,-9.216
0.582,-0.611,0.702,3.174,6.409,-3.357
0.576,-0.599,0.718,15.808,13.123,16.602
0.583,-0.474,0.679,23.987,17.700,23.621
0.582,-0.418,0.654,26.184,19.714,25.085
0.553,-0.408,0.616,18.372,16.113,14.771
0.556,-0.412,0.605,13.123,12.451,9.827
0.570,-0.403,0.606,2.625,5.493,4.211
0.628,-0.383,0.621,-1.648,3.540,-0.183
0.661,-0.402,0.627,-6.592,1.282,-15.015
0.664,-0.512,0.640,-6.165,0.183,-20.386
0.629,-0.552,0.630,2.686,0.549,-16.052
0.558,-0.565,0.560,7.080,-0.427,-9.399
0.528,-0.558,0.536,-0.549,-11.841,4.944
0.541,-0.523,0.589,-10.925,-19.104,11.780
0.598,-0.474,0.676,-22.949,-24.475,20.203
0.615,-0.456,0.683,-19.470,-22.644,19.714
0.599,-0.435,0.691,-12.695,-21.545,12.878
0.579,-0.436,0.707,-15.137,-21.301,5.188
0.597,-0.441,0.708,-14.404,-20.752,2.930
0.575,-0.442,0.694,-11.963,-21.545,1.892
0.516,-0.456,0.728,-14.465,-20.874,3.906
0.531,-0.449,0.764,-13.367,-8.911,10.376
0.620,-0.431,0.781,-11.597,-1.709,11.597
0.650,-0.446,0.773,-5.005,7.385,8.118
0.587,-0.503,0.718,3.967,11.353,7.996
0.541,-0.500,0.669,17.151,13.489,17.029
0.529,-0.426,0.607,12.634,8.545,20.447
0.539,-0.406,0.607,-9.155,-5.615,18.066
0.585,-0.405,0.667,-17.944,-10.559,15.930
0.646,-0.386,0.733,-20.691,-11.353,11.536
0.649,-0.384,0.726,-14.832,-8.301,7.080
0.605,-0.393,0.676,-1.587,-4.517,-2.563
0.590,-0.394,0.675,-1.465,-5.859,-6.042
0.572,-0.415,0.701,-1.892,-5.188,-6.470
0.566,-0.431,0.700,0.793,-1.892,-3.784
0.570,-0.430,0.682,1.038,-2.319,-1.465
0.568,-0.422,0.688,-2.441,-7.141,0.000
0.575,-0.415,0.706,-3.601,-9.094,-0.488
0.574,-0.405,0.716,-2.686,-10.803,-1.953
0.570,-0.402,0.744,-1.526,-9.216,-2.991
0.561,-0.406,0.743,6.775,-1.160,-4.272
0.558,-0.391,0.705,10.620,1.709,-5.432
0.567,-0.387,0.698,7.385,-0.183,-12.024
0.552,-0.414,0.713,6.226,-0.916,-15.930
0.544,-0.424,0.704,10.681,-0.061,-19.714
0.566,-0.420,0.694,9.094,-1.709,-21.179
0.574,-0.474,0.730,0.549,-5.249,-25.452
0.571,-0.496,0.740,1.038,-3.479,-24.719
